#s_it #vs_it #rej_it
0	2	0
0	2	0
0	2	0
0	5	0
0	9	0
2	3	5
3	3	0
0	1	0
414	7	6
1	9	0
1435	2109	2111
7	45	42
31	36	33
7	4	0
0	12	0
6	14	3
6	14	3
5	16	4
5	7	7
2	6	0
0	7	0
0	9	0
0	9	0
0	10	0
0	11	0
0	11	0
0	12	0
0	10	0
0	12	0
0	12	0
0	12	0
0	9	0
0	12	0
0	13	0
0	13	0
0	5	0
0	7	0
0	20	0
1	11	0
1	2	0
0	10	0
10	15	16
3	16	16
10	23	27
4	7	4
0	1	0
9449	278	273
9992	7	1
777	786	783
200	11	9
692	10	7
5	6	0
5992	229	231
235	72	70
0	5	0
6	13	4
4483	2762	2755
3	9	0
1	9	1
0	9	0
0	2	0
13	7	12
39	12	12
792	71	71
739	84	82
0	2	0
8	10	12
9	11	5
0	9	0
2609	3692	3699
5	14	8
0	17	0
1	10	0
9	15	7
1	12	0
0	13	0
0	20	0
3	4	0
0	14	0
0	14	0
0	14	0
11	3	2
7	6	0
5	4	0
0	12	0
9	4	0
1	6	0
2	16	8
166	149	125
14	24	10
0	8	0
3	5	0
3	5	0
12	11	5
0	6	0
4	6	0
0	8	0
0	12	0
6	0	1
3	10	0
0	8	0
8	6	6
1	2	0
0	4	0
56	65	62
4	13	12
34	4	4
54	22	19
56	185	20
