#s_it #vs_it #rej_it
0	2	0
0	2	0
0	2	0
0	5	0
0	9	0
2	4	5
2	6	1
0	1	0
462	9	8
1	8	0
1506	1716	1716
19	38	37
33	35	33
7	4	0
0	12	0
10	9	4
8	9	4
6	8	3
7	8	10
1	7	0
0	7	0
0	9	0
0	9	0
0	10	0
0	11	11
0	12	14
1	12	15
0	10	0
0	13	14
0	12	0
0	12	0
0	9	0
0	14	14
0	13	13
0	12	0
0	5	0
0	7	0
0	19	0
2	11	0
1	2	0
0	10	0
18	21	22
7	16	17
11	19	23
4	9	4
0	1	0
9970	22	8
9982	16	2
435	979	975
1461	7	4
1497	8	4
5	5	0
9455	270	275
345	119	117
0	5	0
276	51	49
9998	2	0
3	10	0
0	10	1
1	9	0
0	2	0
15	5	10
45	14	11
3482	75	70
3834	47	48
0	2	0
8	10	12
13	10	7
0	9	0
2393	3800	3807
7	15	9
0	17	0
2	9	0
8	17	9
1	12	0
0	13	0
0	19	0
3	3	0
0	13	0
0	13	0
0	13	0
10	3	3
11	5	0
5	4	0
0	12	0
14	10	7
1	6	0
3021	1532	1532
9699	147	154
14	25	12
0	8	0
3	4	0
2	6	0
16	21	13
0	6	0
4	6	0
0	8	0
0	12	0
7	0	1
2	10	0
0	8	0
14	7	6
1	2	0
0	4	0
59	57	56
6	16	16
20	5	6
89	38	36
141	159	35
